id_sus,uf,municipio,slug
290720,ba,casa-nova,ba-casa-nova
430490,rs,casca,rs-casca
311500,mg,cascalho-rico,mg-cascalho-rico
410480,pr,cascavel,pr-cascavel
230350,ce,cascavel,ce-cascavel
170390,to,caseara,to-caseara
430495,rs,caseiros,rs-caseiros
330130,rj,casimiro-de-abreu,rj-casimiro-de-abreu
260415,pe,casinhas,pe-casinhas
250415,pb,casserengue,pb-casserengue
311510,mg,cassia,mg-cassia
351090,sp,cassia-dos-coqueiros,sp-cassia-dos-coqueiros
500290,ms,cassilandia,ms-cassilandia
150240,pa,castanhal,pa-castanhal
510285,mt,castanheira,mt-castanheira
110090,ro,castanheiras,ro-castanheiras
520505,go,castelandia,go-castelandia
320140,es,castelo,es-castelo
220260,pi,castelo-do-piaui,pi-castelo-do-piaui
351100,sp,castilho,sp-castilho
410490,pr,castro,pr-castro
290730,ba,castro-alves,ba-castro-alves
311530,mg,cataguases,mg-cataguases
520510,go,catalao,go-catalao
351110,sp,catanduva,sp-catanduva
420400,sc,catanduvas,sc-catanduvas
410500,pr,catanduvas,pr-catanduvas
230360,ce,catarina,ce-catarina
311535,mg,catas-altas,mg-catas-altas
311540,mg,catas-altas-da-noruega,mg-catas-altas-da-noruega
260420,pe,catende,pe-catende
351120,sp,catigua,sp-catigua
250420,pb,catingueira,pb-catingueira
290740,ba,catolandia,ba-catolandia
250430,pb,catole-do-rocha,pb-catole-do-rocha
290750,ba,catu,ba-catu
430500,rs,catuipe,rs-catuipe
311545,mg,catuji,mg-catuji
230365,ce,catunda,ce-catunda
520520,go,caturai,go-caturai
290755,ba,caturama,ba-caturama
250435,pb,caturite,pb-caturite
311547,mg,catuti,mg-catuti
230370,ce,caucaia,ce-caucaia
520530,go,cavalcante,go-cavalcante
311550,mg,caxambu,mg-caxambu
420410,sc,caxambu-do-sul,sc-caxambu-do-sul
210300,ma,caxias,ma-caxias
430510,rs,caxias-do-sul,rs-caxias-do-sul
220265,pi,caxingo,pi-caxingo
240260,rn,ceara-mirim,rn-ceara-mirim
210310,ma,cedral,ma-cedral
351130,sp,cedral,sp-cedral
230380,ce,cedro,ce-cedro
260430,pe,cedro,pe-cedro
280160,se,cedro-de-sao-joao,se-cedro-de-sao-joao
